0.5 3.55271e-15
0.6 1.38889e-09
0.7 1.41394e-08
0.8 3.84717e-08
0.9 1.23738e-07
1 3.15627e-07
1.1 5.32185e-07
1.2 1.0707e-06
1.3 1.65512e-06
1.4 2.52979e-06
1.5 3.73198e-06
1.6 5.52612e-06
1.7 7.81839e-06
1.8 9.61304e-06
1.9 1.31986e-05
2 1.6663e-05
2.1 1.81456e-05
2.2 2.24947e-05
2.3 2.64627e-05
2.4 3.21444e-05
2.5 3.55758e-05
2.6 4.0703e-05
2.7 4.64945e-05
2.8 5.35041e-05
2.9 6.01128e-05
3 6.77044e-05
3.1 7.7905e-05
3.2 8.05107e-05
3.3 8.96785e-05
3.4 9.11068e-05
3.5 0.000113085
3.6 0.000118192
3.7 0.000141268
3.8 0.000152618
3.9 0.000162265
4 0.00016383
4.1 0.000206787
4.2 0.000219596
4.3 0.00021662
4.4 0.00018612
4.5 0.00016755
4.6 0.00012469
4.7 0.000112719
4.8 0.000104174
4.9 8.79935e-05
5 7.52959e-05
5.1 6.83508e-05
5.2 6.27584e-05
5.3 5.68485e-05
5.4 5.13527e-05
5.5 5.03285e-05
5.6 4.45992e-05
5.7 4.18046e-05
5.8 3.5064e-05
5.9 3.74193e-05
6 3.2727e-05
6.1 3.13616e-05
6.2 3.07604e-05
6.3 2.901e-05
6.4 2.42916e-05
6.5 2.15139e-05
6.6 2.1062e-05
6.7 2.11796e-05
6.8 1.93339e-05
6.9 1.81318e-05
7 1.6172e-05
7.1 1.50844e-05
7.2 1.65984e-05
7.3 1.44105e-05
7.4 1.29677e-05
7.5 1.22983e-05
7.6 1.239e-05
7.7 1.18697e-05
7.8 1.06076e-05
7.9 1.14824e-05
8 1.07878e-05
